Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Affiliations,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Name Preferred,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,DOI Link,Book DOI,Early Access Date,Number of Pages,WoS Categories,Web of Science Index,Research Areas,IDS Number,Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,UT (Unique WOS ID),Web of Science Record
J,"Chaudhary, S; Gupta, R; Kakkar, R; Tanwar, S; Polkowski, Z; Alqahtani, F; Said, W",,,,"Chaudhary, Sachi; Gupta, Rajesh; Kakkar, Riya; Tanwar, Sudeep; Polkowski, Zdzislaw; Alqahtani, Fayez; Said, Wael",,,A smart contract and IPFS-based framework for secure electric vehicles at station,SUSTAINABLE ENERGY GRIDS & NETWORKS,,,,,,,,,,,,"The growth of electric vehicles (EVs) at a significant pace is a promising solution for reducing harmful greenhouse gas emissions compared to conventional vehicles. Nevertheless, optimal and efficient EV charging management is a serious concern that needs to be solved for the benefit of both charging stations (CSs) and EVs. In this regard, we proposed a smart contract and Interplanetary File System (IPFS)-based secure EV synchronization framework at the CS utilizing a 5G wireless network. Blockchain technology strengthens the security of the EV charging at the CS in a synchronized and coordinated manner. The IPFS and 5G wireless network ensure efficient and reliable EVs synchronization to charge vehicles from the available number of charging points (CPs) at a CS. Furthermore, we have coordinated and synchronized the EV charging, considering various scenarios based on the waiting queue time, energy demand, and EVs (they can arrive in an emergency). We have shown the implementation interface of the proposed model based on the execution of a smart contract using the Remix Integrated Development Environment (IDE). Moreover, we have performed the security analysis of the smart contract using Echidna fuzzing -based tool to ensure the secure EVs allocation to the corresponding CS. Finally, the performance analysis of the IPFS and smart -based proposed model is evaluated and simulated considering various metrics such as transaction storage cost analysis, computational and communication overhead analysis, utilized cost based on the smart contract functions, and the number of EVs.",,,,,"Polkowski, Zdzislaw/ABG-1682-2020; Tanwar, Sudeep/AAI-6709-2020; Chaudhary, Sachi/PSL-3735-2026; Said, wael/HZK-3491-2023; Gupta, Dr. Rajesh/AAC-8353-2020",,,,,,,,,,,,,,2352-4677,,,,,MAR,2024,37,,,,,,,,101272,10.1016/j.segan.2024.101272,http://dx.doi.org/10.1016/j.segan.2024.101272,,JAN 2024,,,,,,,,,,,WOS:001164446100001,View Full Record in Web of Science
J,"Chowdhury, A; Shafin, SS; Masum, S; Kamruzzaman, J; Dong, S",,,,"Chowdhury, Abdullahi; Shafin, Sakib Shahriar; Masum, Saleh; Kamruzzaman, Joarder; Dong, Shi",,,Secure Electric Vehicle Charging Infrastructure in Smart Cities: A Blockchain-Based Smart Contract Approach,SMART CITIES,,,,,,,,,,,,"Highlights What are the main findings? Development of a blockchain-based smart contract system for secured operation of electric vehicle (EV) charging infrastructure within smart cities. The system prevents cyber-attacks on EV ecosystems through decentralized authentication, secure transaction validation, immutable record-keeping, and smart contract rules. Simulation results demonstrate the system's efficacy in real-time operation with low computational cost and scalability for rapid expansion of EV charging networks. What are the implications of the main findings? Significantly enhances cyber resilience of EVs and their charging networks and increases public trust in their secured operation. Accelerates EV adoption, contributing to net-zero transition and smart city sustainability.Highlights What are the main findings? Development of a blockchain-based smart contract system for secured operation of electric vehicle (EV) charging infrastructure within smart cities. The system prevents cyber-attacks on EV ecosystems through decentralized authentication, secure transaction validation, immutable record-keeping, and smart contract rules. Simulation results demonstrate the system's efficacy in real-time operation with low computational cost and scalability for rapid expansion of EV charging networks. What are the implications of the main findings? Significantly enhances cyber resilience of EVs and their charging networks and increases public trust in their secured operation. Accelerates EV adoption, contributing to net-zero transition and smart city sustainability.Abstract Increasing adoption of electric vehicles (EVs) and the expansion of EV charging infrastructure present opportunities for enhancing sustainable transportation within smart cities. However, the interconnected nature of EV charging stations (EVCSs) exposes this infrastructure to various cyber threats, including false data injection, man-in-the-middle attacks, malware intrusions, and denial of service attacks. Financial attacks, such as false billing and theft of credit card information, also pose significant risks to EV users. In this work, we propose a Hyperledger Fabric-based blockchain network for EVCSs to mitigate these risks. The proposed blockchain network utilizes smart contracts to manage key processes such as authentication, charging session management, and payment verification in a secure and decentralized manner. By detecting and mitigating malicious data tampering or unauthorized access, the blockchain system enhances the resilience of EVCS networks. A comparative analysis of pre- and post-implementation of the proposed blockchain network demonstrates how it thwarts current cyberattacks in the EVCS infrastructure. Our analyses include performance metrics using the benchmark Hyperledger Caliper test, which shows the proposed solution's low latency for real-time operations and scalability to accommodate the growth of EV infrastructure. Deployment of this blockchain-enhanced security mechanism will increase user trust and reliability in EVCS systems.",,,,,"; Chowdhury, Abdullahi/AAA-6423-2022; Dong, Shi/ITT-3871-2023","Shahriar, Sakib/0000-0001-9534-5017; Kamruzzaman, Joarder/0000-0002-3748-0277; Chowdhury, Abdullahi/0000-0001-7237-1642; Masum, Saleh/0009-0006-0533-3869; Dong, Shi/0000-0003-4616-6519",,,,,,,,,,,,,,2624-6511,,,,FEB,2025,8,1,,,,,,,33,10.3390/smartcities8010033,http://dx.doi.org/10.3390/smartcities8010033,,,,,,,,,,,,,WOS:001431806100001,View Full Record in Web of Science
J,"Chen, YW; Lei, X; Niu, SY; Jian, LN",,,,"Chen, Yunwang; Lei, Xiang; Niu, Songyan; Jian, Linni",,,Trustworthy V2G scheduling and energy trading: A blockchain-based framework,ETRANSPORTATION,,,,,,,,,,,,"The rapid growth of electric vehicles (EVs) and the deployment of vehicle-to-grid (V2G) technology pose significant challenges for distributed power grids, particularly in fostering trust and ensuring effective coordination among stakeholders. Establishing a trustworthy V2G operation environment is crucial for enabling large-scale EV user participation and realizing V2G's potential in real-world applications. In this paper, an integrated scheduling and trading framework is developed to conduct transparent and efficacious coordination in V2G operations. In blockchain implementation, a cyber-physical blockchain architecture is proposed to enhance transaction efficiency and scalability by leveraging smart charging points (SCPs) for rapid transaction validation through a fast-path practical byzantine fault tolerance (fast-path PBFT) consensus mechanism. From the energy dispatching perspective, a game-theoretical pricing strategy is employed and smart contracts are utilized for autonomous decision-making between EVs and operators, aiming to optimize the trading process and maximize economic benefits. Numerical evaluation of blockchain consensus shows the effect of the fast-path PBFT consensus in improving systems scalability with a balanced trade-off in robustness. A case study, utilizing real-world data from the Southern University of Science and Technology (SUSTech), demonstrates significant reductions in EV charging costs and the framework's potential to support auxiliary grid services.",,,,,"Jian, Linni/U-2545-2018; Lei, Xiang/IUQ-4177-2023","Niu, Songyan/0000-0002-2412-8207; Chen, Yunwang/0009-0001-9774-5046",,,,,,,,,,,,,2590-1168,,,,,DEC,2024,22,,,,,,,,100376,10.1016/j.etran.2024.100376,http://dx.doi.org/10.1016/j.etran.2024.100376,,NOV 2024,,,,,,,,,,,WOS:001353506100001,View Full Record in Web of Science
J,"Husain, Z; Dutta, J; Singh, S; Mizouni, R; El-Fouly, THM; Otrok, H",,,,"Husain, Zainab; Dutta, Joy; Singh, Shakti; Mizouni, Rabeb; El-Fouly, Tarek H. M.; Otrok, Hadi",,,Context-aware energy auctions on blockchain for mobile EV charging,SUSTAINABLE CITIES AND SOCIETY,,,,,,,,,,,,"The rapid growth of EVs on the road has outpaced the expansion of charging infrastructure, highlighting the need for innovative solutions like Mobile Charging Stations (MCS). These on-the-go chargers are vital for regions with minimal infrastructure but require careful planning to maximize throughput and profit while ensuring customer satisfaction. One key challenge is customer no-shows, leading to resource wastage in terms of forced idle time at MCS charging points. This paper proposes a machine learning-based, context-driven EV behavior prediction model that optimizes MCS decision-making during energy auctions, where MCS act as bidders. By integrating environmental factors like weather, traffic, and time with driver behavior history, the system predicts EV charging patterns, improving resource utilization. The proposed solution is presented as a zone-distributed framework that is deployed as a blockchain-based Decentralized Application (DApp). Experimental results demonstrate the approach's efficiency in reducing wasted time and maximizing revenue for MCS operations.",,,,,"EL-Fouly, Tarek/AAH-9901-2020; Otrok, Hadi/P-9861-2019; Dutta, Joy/N-7775-2016; Husain, Zainab/IXW-5162-2023","Otrok, Hadi/0000-0002-9574-5384; Dutta, Joy/0000-0003-4862-1589;",,,,,,,,,,,,,2210-6707,2210-6715,,,,JUL 15,2025,130,,,,,,,,106548,10.1016/j.scs.2025.106548,http://dx.doi.org/10.1016/j.scs.2025.106548,,JUL 2025,,,,,,,,,,,WOS:001540467800001,View Full Record in Web of Science
J,"Li, BB; Guo, YQ; Du, QY; Zhu, ZQ; Li, XH; Lu, RX",,,,"Li, Beibei; Guo, Yuqing; Du, Qingyun; Zhu, Ziqing; Li, Xiaohui; Lu, Rongxing",,,P3: Privacy-Preserving Prediction of Real-Time Energy Demands in EV Charging Networks,IEEE TRANSACTIONS ON INDUSTRIAL INFORMATICS,,,,,,,,,,,,"and accurate prediction of charging pile energy demands in electric vehicle (EV) charging networks contributes significantly to load shedding and energy conservation. However, existing methods usually suffer from either data privacy leakage problems or heavy communication overheads. In this article, we propose a novel blockchain-based personalized federated deep learning scheme, coined P-3, for privacy-preserving energy demands prediction in EV charging networks. Specifically, we first design an accurate deep learning-based energy demands prediction model for charging piles, by making use of the CNN, BiLSTM, and attention mechanism. Second, we develop a blockchain-based hierarchical and personalized federated learning framework with a consensus committee, allowing charging piles to collectively establish a comprehensive energy demands prediction model in a low-latency and privacy-preserving way. Last, a CKKS cryptosystem based secure communication protocol is crafted to guarantee the confidentiality of model parameters while model training. Extensive experiments on two real-world datasets demonstrate the superiorities of the proposed P3 scheme in accurately predicting real-time energy demands over state-of-the-art schemes. Further, the P-3 scheme can achieve reasonably low computational costs, compared with other homomorphic-based schemes, such as Paillier and BFV.",,,,,"Li, Beibei/AGR-4924-2022; Lu, Rongxing/JOZ-2317-2023",,,,,,,,,,,,,,1551-3203,1941-0050,,,,MAR,2023,19,3,,,,,3029,3038,,10.1109/TII.2022.3182972,http://dx.doi.org/10.1109/TII.2022.3182972,,,,,,,,,,,,,WOS:000965701100001,View Full Record in Web of Science
J,"Kaur, A; Singh, P; Singh, J",,,,"Kaur, Avinash; Singh, Parminder; Singh, Jagdeep",,,Renewable Energy Optimization for Distributed EV Charging Stations Using HBA and Smart Contracts,IEEE INTERNET OF THINGS JOURNAL,,,,,,,,,,,,"The demand for electric vehicles (EVs) is influenced by the location of charging stations and the management of renewable energy production. Efficient control of renewable energy can optimize resource usage, cost reduction, and enhance operator's profitability, whereas mismanagement adversely impacts economic and energy efficiency. This study proposed an optimal location management system for distributed charging stations with renewable energy. A reward mechanism has been designed to support the electrical vehicle charging station (EVCS) operators based on uncertain demand and location. The unexpected arrival of EV demand is catered with the proposed response model by considering the price, time, and charging. The Honey Badger Algorithm (HBA) is used for the optimal operation of the charging operator for EV response. The smart contract is deployed between the transmission and charging operators to decide incentives for handling congestion and voltage stability. The experiment results demonstrate that the proposed model can reduce the overproduction of variable renewable energy with proper location management of charging stations for EVs.",,,,,"Singh, Jagdeep/AAN-6423-2020","Singh, Jagdeep/0000-0002-1935-8307; Kaur, Avinash/0000-0003-3534-4121; Singh, Parminder/0000-0002-0750-6309",,,,,,,,,,,,,2327-4662,,,,,SEPT 1,2025,12,17,,,,,34700,34707,,10.1109/JIOT.2025.3554506,http://dx.doi.org/10.1109/JIOT.2025.3554506,,,,,,,,,,,,,WOS:001556064800012,View Full Record in Web of Science
J,"Lin, YJ; Chen, YC; Zheng, JY; Chu, D; Shao, DW; Yang, HT",,,,"Lin, Yu-Jin; Chen, Yu-Cheng; Zheng, Jun-Yi; Chu, Dan; Shao, Dan-Wei; Yang, Hong-Tzer",,,Blockchain Power Trading and Energy Management Platform,IEEE ACCESS,,,,,,,,,,,,"In this study, artificial intelligence, the Internet of things, and blockchain technology were combined to develop a vehicle-to-everything blockchain power trading and energy management platform with the objective of enabling multi-level power transactions for electric vehicle charging stations in or between commercial buildings. The proposed platform considers green power transactions across microgrids, bidirectional power and green power charging and discharging transactions in microgrids, demand response bidding, and vehicle-to-vehicle emergency rescue charging. This innovative architecture operates smart contracts and distributed ledgers independently; uses smart contracts to handle bidding, matching, and settlement of the power trading platform; and simultaneously employs the cloud and local distributed ledger nodes to chain the detailed real-time transaction information and power data on the ledger. In this manner, the security and fairness of data can be ensured; furthermore, a large amount of chaining information can be processed, and the chaining latency can be shortened. In addition, the communication protocols are integrated through the artificial intelligence of things. An energy management system (EMS) is proposed, which can perform optimal charging and discharging scheduling according to the power transaction matching results and then control charging piles and energy storage system devices. It can reduce the operating cost of microgrids in commercial buildings, increase the efficiency of green power utilization, and reduce power loss. In this system, power transactions are automatically and simultaneously executed in the EMS to achieve real-time supply and demand balance of regional microgrids.",,,,,,"YANG, HONG-TZER/0000-0002-1965-0922; Lin, Yu-Jin/0000-0001-9340-911X",,,,,,,,,,,,,2169-3536,,,,,,2022,10,,,,,,75932,75948,,10.1109/ACCESS.2022.3189472,http://dx.doi.org/10.1109/ACCESS.2022.3189472,,,,,,,,,,,,,WOS:000831056500001,View Full Record in Web of Science
J,"Lin, YJ; Chen, YC; Zheng, JY; Shao, DW; Chu, D; Yang, HT",,,,"Lin, Yu-Jin; Chen, Yu-Cheng; Zheng, Jun-Yi; Shao, Dan-Wei; Chu, Dan; Yang, Hong-Tzer",,,Blockchain-Based Intelligent Charging Station Management System Platform,IEEE ACCESS,,,,,,,,,,,,"A smart electric vehicle (EV) charging station energy management system (CSMS) based on blockchain technology, which aims to protect privacy of EV users, ensure fairness of power transactions, and meet charging demands for large numbers of EVs, is proposed in this study. EV charging pile is designed as a local blockchain distributed ledger node, which operates synchronously with blockchain system and blockchain distributed ledger in cloud server. This paper integrates CSMS through smart contracts, providing EV users that ability to conduct power transactions and perform optimal charging and discharging control in real-time. The distributed ledger is in charge of recording all the EV charging and discharging data to maintain fairness of power transactions, protects data from being maliciously tampered, and enables the EV user to monitor status of the EV participating in power transactions and dispatching. The intelligent CSMS consists of an artificial intelligence (AI) module, centralized optimal scheduling module, and decentralized optimal control module. The AI module is responsible for forecasting renewable energy generation and load consumption. There is a two-layer architecture consisting of centralized and decentralized optimal control modules; the upper layer performs optimal charging and discharging scheduling of the entire EV charging station at time 15-min time segments, the bottom layer performs distributed optimal scheduling control in each EV charging pile at 5 min time interval. Proposed system in this paper can deal with feeder congestion and real-time power supply and grid demand imbalance, which are caused by high numbers of EVs.",,,,,,"Lin, Yu-Jin/0000-0001-9340-911X; YANG, HONG-TZER/0000-0002-1965-0922",,,,,,,,,,,,,2169-3536,,,,,,2022,10,,,,,,101936,101956,,10.1109/ACCESS.2022.3208894,http://dx.doi.org/10.1109/ACCESS.2022.3208894,,,,,,,,,,,,,WOS:000864339300001,View Full Record in Web of Science
J,"Zhang, NW; Zhi, TH; Zhang, YL",,,,"Zhang, Ningwei; Zhi, Tonghui; Zhang, Yuli",,,Blockchain-enabled electric vehicle orderly charging optimization,JOURNAL OF THE OPERATIONAL RESEARCH SOCIETY,,,,,,,,,,,,"The increasing prevalence of electric vehicles (EVs) urges charging station operators (CSOs) to expand their networks. However, currently CSOs operate independent EV charging service platforms separately, which poses inconvenience for EV users and hinders the efficient utilization of charging infrastructure. This paper introduces a consortium blockchain-enabled EV charging service platform (CB-EVCSP), which leverages novel orderly charging guidance models (OCGMs) encoded as smart contracts to integrate and coordinate the efforts of CSOs. The CB-EVCSP not only mitigates trust and security concerns but also enhances the utilization of charging facilities. Both multinomial logit (MNL) and mixed MNL models are developed to characterize the interaction between charging station recommendations and EV users' choice behaviors, where a coefficient of variation based fairness criterion is used to ensure distribution fairness. We provide equivalent reformulations and design efficient constraint generation algorithms. Numerical experiments are conducted to validate the effectiveness of the proposed models and algorithms.",,,,,"; zhi, zhi/OCK-8045-2025; Zhang, Yuli/KIL-4487-2024","Zhang, Ningwei/0000-0003-3465-1322;",,,,,,,,,,,,,0160-5682,1476-9360,,,,DEC 1,2024,75,12,,,,,2404,2420,,10.1080/01605682.2024.2320867,http://dx.doi.org/10.1080/01605682.2024.2320867,,FEB 2024,,,,,,,,,,,WOS:001173362300001,View Full Record in Web of Science
J,"Gaurav, KK; Baranwal, G",,,,"Gaurav, Keshab Kumar; Baranwal, Gaurav",,,Blockchain-driven parking reservation and recommendation system for shared spaces using multi-criteria decision-making with user feedback integration,COMPUTERS & ELECTRICAL ENGINEERING,,,,,,,,,,,,"To address urban parking challenges arising from increasing vehicle ownership and limited space for new developments, we propose a blockchain-powered parking reservation system. This system enables private parking spaces to be shared during unused times, helping to alleviate issues such as illegal parking and congestion. It takes into account important factors like proximity to the city center, cleanliness, security, and the availability of electric vehicle (EV) charging points, which have become crucial with the growing adoption of EVs. Using a multi-criteria decision-making method, it ranks parking options based on user preferences, assigning the best match or recommending alternatives if the preferred spot is unavailable. Additionally, a Bayesian average rating algorithm updates parking ratings based on user feedback, improving the experience for future users. Blockchain integration ensures automation, reduces operational costs and guarantees transparency and immutability. This innovative approach maximizes the utilization of existing parking resources and offers a secure, efficient, and user-centric solution to urban parking issues while contributing to sustainable city development.",,,,,"Baranwal, Gaurav/IXD-2560-2023","Baranwal, Gaurav/0000-0002-9540-3173; Gaurav, Keshab Kumar/0009-0002-0256-8938",,,,,,,,,,,,,0045-7906,1879-0755,,,,JAN,2026,129,,A,,,,,,110771,10.1016/j.compeleceng.2025.110771,http://dx.doi.org/10.1016/j.compeleceng.2025.110771,,OCT 2025,,,,,,,,,,,WOS:001604659800003,View Full Record in Web of Science
