Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Affiliations,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Name Preferred,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,DOI Link,Book DOI,Early Access Date,Number of Pages,WoS Categories,Web of Science Index,Research Areas,IDS Number,Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,UT (Unique WOS ID),Web of Science Record
J,"Zhao, E; May, E; Walker, PD; Surawski, NC",,,,"Zhao, Enoch; May, Ethan; Walker, Paul D.; Surawski, Nic C.",,,Emissions life cycle assessment of charging infrastructures for electric buses,SUSTAINABLE ENERGY TECHNOLOGIES AND ASSESSMENTS,,,,,,,,,,,,"This paper evaluates and calculates the magnitude of greenhouse gases produced from the implementation of electric bus charging stations into existing bus depots concurrent with the transitioning of the commuter bus fleets into electrified powertrains. To achieve this, a comprehensive and in-depth emissions life cycle assessment is conducted and utilises the Australian based fleets as a case study, focusing particularly on Sydney city and Inner West regions. To define the scope and system boundary for this type of study, the authors have chosen bus routes that take into account city, suburban, and highway driving. The study conducts a life cycle assessment of electric bus charging stations that incorporates the greenhouse gas emissions produced from the production, transportation, installation, operations, and decommissioning phases. Additionally, three alternate scenarios are explored: time variance, high shares of renewables, and net-zero emissions by 2050. Results show that contributions from infrastructure development and the transition to electrified buses are substantially outweighed by operation emissions. The operations phase is heavily dependent on the electricity grid-mixes carbon intensity and contributes the most greenhouse gas emissions (98.8%), followed by production (0.69%), recycling and disposal (0.48%), installation (0.01%), and transportation (0.01%). The current Australian electricity grid-mix produces approximately 1.2 similar to 1.4 times more greenhouse emissions than when combusting diesel fuel. Thus, net-zero emissions will not be achieved without substantial grid-mix decarbonisation. This study also finds that regional-specific parameters heavily influences the final life cycle emissions calculations. For the case-specific scenario, it is found that transitioning the existing transport bus fleet into electric powertrains has the potential to significantly reduce the impact on climate change compared to diesel buses. However, it can only be made possible if the electricity used to charge the electric buses is generated from low carbon-intensive sources, such as renewable energy.",,,,,"Surawski, Nicholas/I-6757-2013","Surawski, Nicholas/0000-0003-2584-1044; Zhao, Enoch/0000-0002-5686-1999",,,,,,,,,,,,,2213-1388,2213-1396,,,,DEC,2021,48,,,,,,,,101605,10.1016/j.seta.2021.101605,http://dx.doi.org/10.1016/j.seta.2021.101605,,SEP 2021,,,,,,,,,,,WOS:000711078300003,View Full Record in Web of Science
J,"Ji, JH; Wang, LH; Bie, YM; Li, SW",,,,"Ji, Jinhua; Wang, Linhong; Bie, Yiming; Li, Shiwu",,,Economic and environmental analysis for electric bus system with dynamic wireless charging,TRANSPORTATION RESEARCH PART D-TRANSPORT AND ENVIRONMENT,,,,,,,,,,,,"Dynamic wireless charging (DWC) enables real-time energy replenishment for electric buses (EBs) while in motion, substantially reducing onboard battery capacity requirements, vehicle curb mass, and associated procurement and electricity expenditures. However, charging infrastructure entails significant upfront capital investment, and economic viability and decarbonization potential remain insufficiently quantified, which hinders its widespread adoption. To analyze the advantages and challenges of DWC in EB systems, this paper constructs a life cycle assessment framework. First, the system boundary is defined, and the life cycle duration is determined. Then, the operating costs and greenhouse gas emissions are calculated to analyze the economic and environmental impacts of the system. A case study is carried out on an actual route, and results show that DWC reduces emissions compared with plug-in charging. Economically, DWC lowers operating costs under the flat-rate tariff policy, but increases them under the time-of-use pricing policy.",,,,,"Bie, Yiming/LIC-2080-2024",,,,,,,,,,,,,,1361-9209,1879-2340,,,,FEB,2026,151,,,,,,,,105159,10.1016/j.trd.2025.105159,http://dx.doi.org/10.1016/j.trd.2025.105159,,DEC 2025,,,,,,,,,,,WOS:001641463100001,View Full Record in Web of Science
J,"Al-Ogaili, AS; Al-Shetwi, AQ; Babu, TS; Hoon, Y; Abdullah, MA; Alhasan, A; Al-Sharaa, A",,,,"Al-Ogaili, Ali Saadon; Al-Shetwi, Ali Q.; Sudhakar Babu, Thanikanti; Hoon, Yap; Abdullah, Majid A.; Alhasan, Ameer; Al-Sharaa, Ammar",,,"Electric Buses in Malaysia: Policies, Innovations, Technologies and Life Cycle Evaluations",SUSTAINABILITY,,,,,,,,,,,,"A large-scale adoption of electric buses (EBs) is a promising solution to mitigate greenhouse gas emissions from the transportation sector. In the upcoming decades, the development of EB technologies will be initiated worldwide, including in Malaysia. Government policies to support EB deployments have been widely established. Therefore, Malaysia's National Automotive Policy has stated a roadmap of policies to promote a national groundwork accordingly. Following the elaboration of Malaysia's goals for EBs deployments by 2014 and 2020, there are crucial associated topics for EBs implementation, including EB innovations and technologies adoption. This study presents a deep discussion about the groundwork of EB innovations that have been initiated in Malaysia to meet the roadmap targets. This paper also comprehensively reviews the technical specifications of EB innovation technologies, including Electric Bus Innovation Malaysia, Malaysia Automotive Institute, and Go Auto prototypes. In addition, this study outlines the EB technologies that have been launched in three states in Malaysia, known as Putrajaya, Melaka, and Sarawak. Furthermore, a generic framework for life cycle assessments of EB is presented, focusing on the economic and environmental impacts. This framework provides the necessary groundwork for further studies on charging infrastructure requirements.",,,,,"Thanikanti, Sudhakar Babu/L-6616-2017; Al-Shetwi, Ali Q/G-8887-2019; alhasan, Ameer/GNW-5112-2022; Al-ogaili, Ali/V-5148-2019; HOON, YAP/HPF-9953-2023","Thanikanti, Sudhakar Babu/0000-0003-0737-3961; Al-Shetwi, Ali Q/0000-0002-6581-9629; Alsharaa, Ammar/0000-0002-3563-9387; alhasan, Ameer/0000-0002-7011-3620;",,,,,,,,,,,,,,2071-1050,,,,NOV,2021,13,21,,,,,,,11577,10.3390/su132111577,http://dx.doi.org/10.3390/su132111577,,,,,,,,,,,,,WOS:000726896500001,View Full Record in Web of Science
J,"Yan, WJ; Yeow, ECH; Wang, ZM; Foo, CK; Tan, DZL; Chiam, SY; Teo, Z; Ng, JKH; Meng, FS; Yeo, ZQ; Low, JSC",,,,"Yan, Wenjin; Yeow, Ethan Chuen Herh; Wang, Zhaomin; Foo, Chuan Kai; Tan, Daren Zong Loong; Chiam, Sing Yang; Teo, Zheng; Ng, Jackson Kwang Hui; Meng, Frank Shize; Yeo, Zhiquan; Low, Jonathan Sze Choong",,,Assessing the environmental benefits of passenger cars electrification in metropolises: A case study of Singapore,INTERNATIONAL JOURNAL OF SUSTAINABLE TRANSPORTATION,,,,,,,,,,,,"Land-based transportation is a significant contributor to global greenhouse gas (GHG) emissions, with internal combustion engine vehicles being the predominant mode of transport in this sector. As the world population grows and urbanization accelerates, transport demand in metropolitan areas is projected to double by 2050, underscoring the critical need for sustainable transportation strategies, forecasting, and planning within an urban context. One challenge in this endeavor is the insufficient attention given to the distribution of vehicle grades within the overall car population during GHG impact assessment, despite the recognized importance of car grade by researchers and policymakers. In this study, we incorporate both engine type and vehicle grade distribution, derived from data on over 30,000 passenger cars registered with the Land Transport Authority of Singapore between 2018 and 2022, into our life cycle assessment analysis. This approach ensures that our scenario-based studies on prediction and planning are more comprehensive than those that consider only the most popular models. Furthermore, while Singapore benefits from a relatively clean electricity supply, the current limitations in charging infrastructure negatively affect the GHG impact of electric vehicles. The insights from this research will inform the development of transportation policies for metropolises like Singapore, contributing to the advancement of a more sustainable transportation system.",,,,,"; Yeo, Zhiquan/JDD-9143-2023; Chiam, Sing/H-5569-2011","Yan, Wenjin/0000-0003-0947-7836; Tan, Daren/0000-0003-2909-2212;",,,,,,,,,,,,,1556-8318,1556-8334,,,,AUG 3,2025,19,8,,,,,749,761,,10.1080/15568318.2024.2421840,http://dx.doi.org/10.1080/15568318.2024.2421840,,OCT 2024,,,,,,,,,,,WOS:001349274500001,View Full Record in Web of Science
J,"Gauto, MA; Roitman, T; Lopes, E; Capaz, RS; Pereira, GAG; Nogueira, GP",,,,"Gauto, Marcelo Antunes; Roitman, Tamar; Lopes, Everton; Silva Capaz, Rafael; Pereira, Goncalo Amarante Guimaraes; Nogueira, Guilherme Pessoa",,,The greenhouse gases emissions and environmental impact profiles for bio-electromobility alternatives in Brazilian urban buses,ENERGY FOR SUSTAINABLE DEVELOPMENT,,,,,,,,,,,,"The global transport sector remains a major contributor to greenhouse gas (GHG) emissions, urging the need for low-carbon pathways that go beyond full fleet electrification. In countries like Brazil, where biofuel production is mature and the electricity matrix is relatively clean, bio-electromobility can offer an effective alternative for decarbonizing urban public transport. This study assesses the environmental performance of seven scenarios composed by different bus types and energy use - conventional diesel, compressed natural gas (CNG), biomethane (bioCNG), hydrotreated vegetable oil (HVO) from soybean oil and from tallow, in internal combustion engine buses (ICEB), hybrid buses (HEB) and battery electric buses (BEB) configurations - through a cradle-to-grave Life Cycle Assessment (LCA). The analysis covers midpoint Global Warming Potential and endpoint damage categories: Ecosystem Quality, Human Health, and Natural Resources. Results show that buses powered by residue-based HVO or bioCNG in both internal combustion and hybrid configurations outperform BEBs in several environmental impact categories, challenging the narrative that zero-emission buses are always the optimal solution when upstream and mid-life emissions are considered. Limitations include data assumptions, partial regionalization, and infrastructure constraints that may affect large-scale deployment. The findings emphasize the need for diversified public policies that integrate biofuels and electrification, leveraging Brazil's biomass potential while expanding charging infrastructure sustainably. This study contributes to closing knowledge gaps in bio-electromobility's role and provides decision-makers with robust evidence to guide investments and regulatory frameworks toward a truly low-carbon urban transport system.",,,,,"Capaz, Rafael/ABB-4821-2020; Pessoa Nogueira, Guilherme/PNI-9013-2026","Capaz, Rafael/0000-0001-8699-1850;",,,,,,,,,,,,,0973-0826,2352-4669,,,,JAN,2026,90,,,,,,,,101887,10.1016/j.esd.2025.101887,http://dx.doi.org/10.1016/j.esd.2025.101887,,NOV 2025,,,,,,,,,,,WOS:001626129500001,View Full Record in Web of Science
J,"Panta, U; Gairola, P; Nezamuddin, N",,,,"Panta, Utsav; Gairola, Pranav; Nezamuddin, N.",,,Modelling benefit-to-cost ratio for initial phase electrification using battery electric bus,TRANSPORT POLICY,,,,,,,,,,,,"In light of growing global concern regarding environmental pollution, greenhouse gas emission and fastdepleting petroleum resources, electric buses are being considered as an integral part of future urban transportation system. However, substantial financial resources required for complete transition from conventional fuel-driven buses to electric buses means that this process will take place progressively. We have developed an optimization framework to assist in decision-making during the initial phase of transitioning to electric buses while working within financial constraints. Our approach focuses on a route-specific performance metric, the benefit-to-cost (B/C) ratio, which maximizes fuel savings and emissions reduction when transitioning to electric buses, all while respecting the limitations of available resources. The model identifies the set of bus routes to be electrified, along with the locations of electrified terminals. The proposed model was tested on the extensive public bus network of Delhi, India for two scenarios: compressed natural gas (CNG)-to-electric and diesel-toelectric bus transitions. Additionally, sensitivity analysis was conducted to evaluate how the available electrification budget and charging power affect the benefit-to-cost ratio and decisions related to route and terminal electrification. To fully realize the environmental benefits of electric buses, it is essential for the bus electrification policy to align with a shift from carbon-intensive energy sources to cleaner alternatives. Our study for Delhi suggests that a minimum of 30% of the electricity should come from clean energy sources to maximize the environmental benefits of bus electrification. This framework can thus serve as a useful tool to public transit agencies when planning the initial phases of the bus electrification.",,,,,"; Gairola, Pranav/HTS-5481-2023","Panta, Utsav/0000-0002-1911-8098; Gairola, Pranav/0000-0002-9772-0332; Nezamuddin, N/0000-0002-7441-3989",,,,,,,,,,,,,0967-070X,1879-310X,,,,JAN,2024,145,,,,,,137,149,,10.1016/j.tranpol.2023.10.016,http://dx.doi.org/10.1016/j.tranpol.2023.10.016,,NOV 2023,,,,,,,,,,,WOS:001109728000001,View Full Record in Web of Science
J,"Borne, I; de Souza, SAS; Silva, ETC; Soares, GB; Ledesma, JJG; Ando, OHA Jr",,,,"Borne, Ivonete; de Souza, Sara Angelica Santos; Silva, Evelyn Tania Carniatto; Soares, Gabriel Brugues; Ledesma, Jorge Javier Gimenez; Ando Junior, Oswaldo Hideo",,,Sustainable Mobility: Analysis of the Implementation of Electric Bus in University Transportation,ENERGIES,,,,,,,,,,,,"Sustainable mobility in university environments presents both a challenge and an opportunity to reduce environmental impact and promote energy efficiency. This study assesses the feasibility of implementing electric buses in the internal transportation system of the Federal University of Para & iacute;ba (UFPB), considering environmental, economic, and operational aspects. The analysis demonstrates that transitioning to this model can lead to a significant reduction in greenhouse gas (GHG) emissions, noise pollution mitigation, and optimization of operational costs throughout the vehicle's life cycle. The study examines technical, structural, and financial factors, emphasizing the necessary infrastructure, academic community acceptance, and the economic viability of the project, as well as the strategic advantage of integrating the electric fleet with photovoltaic energy generation. The key highlights of this research include: (i) Sustainability and energy efficiency, emphasizing a reduction of up to 52.52% in CO2 emissions when vehicles are powered by photovoltaic energy in an LCA context, alongside improvements in air quality and noise pollution mitigation. (ii) Economic feasibility analysis, comparing operational and maintenance costs between electric and conventional diesel buses, evaluating the financial viability and potential return on investment. (iii) Infrastructure and implementation challenges, addressing the need for charging stations, adaptation of UFPB's infrastructure, and financing models, including government subsidies and strategic partnerships. (iv) Impact on the academic community, analyzing student and staff perceptions and acceptance of fleet electrification and the promotion of sustainable practices. (v) Future projections and replicability, exploring trends in the sustainable transportation sector, as well as the potential expansion of the electric fleet and its integration with energy storage systems. The results indicate that adopting electric buses at UFPB can position the institution as a benchmark in sustainable mobility, serving as a replicable model for other universities and contributing to carbon emission reduction and modernization of university transportation.",,,,,"Borne, Ivonete/PFK-1069-2025; Gimenez Ledesma, Jorge Javier/LTE-8969-2024; Ando Junior, Oswaldo Hideo/P-6733-2014","Carniatto, Evelyn/0000-0001-8266-8511; Gimenez Ledesma, Jorge Javier/0000-0002-5979-4955; Borne, Ivonete/0009-0007-2096-4594; Brugues Soares, Gabriel/0009-0004-1082-1467; Santos de Souza, Sara Ang¨¦lica/0000-0002-5510-5358; Ando Junior, Oswaldo Hideo/0000-0002-6951-0063",,,,,,,,,,,,,,1996-1073,,,,APR 25,2025,18,9,,,,,,,2195,10.3390/en18092195,http://dx.doi.org/10.3390/en18092195,,,,,,,,,,,,,WOS:001486234000001,View Full Record in Web of Science
J,"Liu, FJ; Shafique, M; Luo, XW",,,,"Liu, Fangjie; Shafique, Muhammad; Luo, Xiaowei",,,Unveiling the determinants of battery electric vehicle performance: A systematic review and meta-analysis,COMMUNICATIONS IN TRANSPORTATION RESEARCH,,,,,,,,,,,,"The transition toward battery electric vehicles (BEVs) is a critical element in the global shift toward sustainable transportation. This meta-analysis delves into the multifaceted factors influencing BEV performance, including environmental, technological, behavioral, and political-economic determinants. The purpose of this review is to systematically organize and assess how these factors impact BEV efficiency and sustainability across various operational scenarios, such as driving, charging, and decommissioning. By examining a wide range of literature, this study constructs a comprehensive framework that categorizes the primary components and performance metrics, revealing complex relationships and potential causal connections. The findings highlight that although technological advancements and regulatory frameworks are the predominant drivers of BEV performance, environmental conditions and user behaviors also play significant roles. The key emerging topics identified suggest further research avenues, particularly in optimizing battery technology and expanding policy support. Additionally, the analysis provides new and systematic insights compared with previous reviews, offering a clearer understanding of the determinants, their impacts, and the interactions between them. These insights are crucial for developing a transparent evaluation system for future research and policy formulation. This comprehensive synthesis not only aids in understanding the current landscape but also in directing future scholarly and practical endeavors in electric vehicle research.",,,,,"luo, xiaowei/GON-4131-2022; LIU, Fangjie/ISU-0300-2023; Shafique, Muhammad/AAL-1010-2021","luo, xiaowei/0000-0002-9360-7308; LIU, Fangjie/0009-0000-0592-901X; Shafique, Muhammad/0000-0002-1581-6980",,,,,,,,,,,,,2097-5023,2772-4247,,,,DEC,2024,4,,,,,,,,100148,10.1016/j.commtr.2024.100148,http://dx.doi.org/10.1016/j.commtr.2024.100148,,NOV 2024,,,,,,,,,,,WOS:001366627400001,View Full Record in Web of Science
J,"Dahlgren, S; Ammenberg, J",,,,"Dahlgren, Sofia; Ammenberg, Jonas",,,"Sustainability Assessment of Public Transport, Part II-Applying a Multi-Criteria Assessment Method to Compare Different Bus Technologies",SUSTAINABILITY,,,,,,,,,,,,"Many Swedish regional transport authorities want bus fleets driven on renewable fuels. However, it may be difficult to know what technology, or combination of technologies, to choose. There is a need for improved knowledge and supportive methods for sustainability assessments that can support public procurement processes. In the companion article (Part I), a multi-criteria assessment (MCA) method for assessments of public bus technologies' sustainability was established, consisting of four key areas and 12 indicators. In this article, the purpose is to apply the method established in part I on different bus technologies by looking at a general Swedish case and assessing buses driven on diesel, Hydrotreated Vegetable Oil (HVO), Fatty Acid Methyl Ester (FAME), ethanol, natural gas, biomethane and electricity. Each technology is assessed on a scale from Very Poor to Very Good according to the indicators: technical maturity, daily operational availability, total cost of ownership, need for investments in infrastructure, cost stability, non-renewable primary energy efficiency, greenhouse gas emission savings, air pollution, noise, local/regional impact on land and aquatic environments, energy security and sociotechnical systems services. The results show the strengths and weaknesses of each technology, which are later discussed. We also critically reflect upon the usefulness and accuracy of the MCA method.",,,,,,"Ammenberg, Jonas/0000-0002-8323-881X; Dahlgren, Sofia/0000-0001-5643-7680",,,,,,,,,,,,,,2071-1050,,,,FEB,2021,13,3,,,,,,,1273,10.3390/su13031273,http://dx.doi.org/10.3390/su13031273,,,,,,,,,,,,,WOS:000615680300001,View Full Record in Web of Science
J,"Nguyen, VC; Wang, CT; Hsieh, YJ",,,,"Van Can Nguyen; Wang, Chi-Tai; Hsieh, Ying-Jiun",,,Electrification of Highway Transportation with Solar and Wind Energy,SUSTAINABILITY,,,,,,,,,,,,"Global warming has triggered waves of public awareness to surface very strongly worldwide, urging to eliminate all greenhouse gas emissions in a timely fashion. Among all feasible approaches to achieving this goal, using renewables to replace fossil fuels and electric vehicles (EVs) to replace conventional internal combustion engine vehicles is arguably a top-priority task. However, there is a severe lack of practical approaches to measuring a proper renewable mix for powering EVs in a large highway network while also considering renewables' seasonal availability and the possible need to regulate the production and consumption of renewable energy with grid-scale battery arrays installed at certain locations. This urgent need motivates developing the mixed-integer programming model as presented in this paper. Furthermore, a comprehensive case study on Taiwan's national highways covers such useful knowledge as the process to prepare key numeric data, especially local solar and wind energy and highway traffic, in-depth analysis on model solutions to reveal the overall availability of renewable energy across the highway network, and close measurements on the required investments. These findings support using renewable energy to power EVs on a national highway and reveal the importance of local business involvements. However, a relatively small country, such as Taiwan, can still display significant variations in renewable power availability. In a stand-alone setting for power usage, these variations would result in massive volumes of renewable energy not used by highway travel in some seasons. These details demonstrate the applicability and values of the proposed model in a real situation.",,,,,"Nguyen, Van-Can/NJL-3018-2025",,,,,,,,,,,,,,,2071-1050,,,,MAY,2021,13,10,,,,,,,5456,10.3390/su13105456,http://dx.doi.org/10.3390/su13105456,,,,,,,,,,,,,WOS:000662604000001,View Full Record in Web of Science
